Comments,Surrounding Code Context,Class
/*test 529*/,"-10.   int res = 0;
-9.   CURL *curl = NULL;
-8.   FILE *hd_src = NULL;
-7.   int hd;
-6.   struct_stat file_info;
-5.   CURLM *m = NULL;
-4.   int running;
-3.   start_test_timing();
-2.   if(!libtest_arg2) {
-1. #ifdef LIB529

/*test 529*/

1.     fprin",Not Useful
/*test 525*/,"-2.     fprintf(stderr, ""Usage: lib529 [url] [uploadfile]\n"");
-1. #else

/*test 525*/

1.     fprintf(stderr, ""Usage: lib525 [url] [uploadfile]\n"");
2. #endif
3.     return TEST_ERR_USAGE;
4.   }
5.   hd_src = fopen(libtest_arg2, ""rb"");
6.   if(!hd_src) ",Not Useful
/*done*/,"-10.   multi_add_handle(m, curl);
-9.   for(;;) {
-8.     struct timeval interval;
-7.     fd_set rd, wr, exc;
-6.     int maxfd = -99;
-5.     interval.tv_sec = 1;
-4.     interval.tv_usec = 0;
-3.     multi_perform(m, &running);
-2.     abort_on_test_ti",Not Useful
/*test 529*/,"-10.   int res = 0;
-9.   CURL *curl = NULL;
-8.   FILE *hd_src = NULL;
-7.   int hd;
-6.   struct_stat file_info;
-5.   CURLM *m = NULL;
-4.   int running;
-3.   start_test_timing();
-2.   if(!libtest_arg2) {
-1. #ifdef LIB529

/*test 529*/

1.     fprin",Not Useful
/*test 525*/,"-2.     fprintf(stderr, ""Usage: lib529 [url] [uploadfile]\n"");
-1. #else

/*test 525*/

1.     fprintf(stderr, ""Usage: lib525 [url] [uploadfile]\n"");
2. #endif
3.     return TEST_ERR_USAGE;
4.   }
5.   hd_src = fopen(libtest_arg2, ""rb"");
6.   if(!hd_src) ",Not Useful
"/*argv1 = URL
 * argv2 = proxy
 * argv3 = non-zero means ASCII transfer*/",#NAME?,Not Useful
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful
